iter	MultiClass
0	1.081030856
1	1.063837076
2	1.047292732
3	1.031046335
4	1.014972408
5	0.9999033737
6	0.9847620368
7	0.9703332544
8	0.9560143143
9	0.9424350793
10	0.9290297008
11	0.9162284723
12	0.9032802056
13	0.8911031633
14	0.8790692944
15	0.8673234298
16	0.8557839685
17	0.844652753
18	0.8338750344
19	0.8231740633
20	0.8127212191
21	0.8025807372
22	0.7925002197
23	0.7828574217
24	0.7731306583
25	0.7638220331
26	0.7548198773
27	0.7461195005
28	0.7371973169
29	0.7286224791
30	0.7203504112
31	0.7121867502
32	0.7040873744
33	0.6963464934
34	0.6885610662
35	0.6811441404
36	0.6734986423
37	0.666074576
38	0.6587541037
39	0.6515907722
40	0.6447628721
41	0.6380563013
42	0.6313694828
43	0.6247055415
44	0.6181728269
45	0.6117940579
46	0.6055981391
47	0.5995883098
48	0.5935029136
49	0.5877995052
50	0.5822141685
51	0.5765789897
52	0.5709400709
53	0.5653594009
54	0.5598868758
55	0.5544754616
56	0.5490748927
57	0.5437723126
58	0.5388490551
59	0.533908528
60	0.5289995168
61	0.5241084672
62	0.5195107669
63	0.5148806157
64	0.510341296
65	0.5058737796
66	0.5017530442
67	0.4973893832
68	0.4932854812
69	0.489284632
70	0.4850261007
71	0.4808929161
72	0.4768914394
73	0.4730132599
74	0.4691157184
75	0.4652202162
76	0.4614777199
77	0.4576859898
78	0.4539392506
79	0.4505784929
80	0.4471205077
81	0.4433723972
82	0.4399739331
83	0.436429976
84	0.4331522024
85	0.4299795497
86	0.4266386655
87	0.4233600998
88	0.4201557611
89	0.4169347012
90	0.413692505
91	0.4107009367
92	0.4078862223
93	0.4050448438
94	0.4019283311
95	0.3992029303
96	0.3963048571
97	0.3934411017
98	0.3906548749
99	0.3880199025
100	0.3853812163
101	0.3825745815
102	0.3798800112
103	0.3772576883
104	0.3745590768
105	0.3718786692
106	0.3692144158
107	0.366662227
108	0.3642888606
109	0.3618276561
110	0.3595158046
111	0.3573051343
112	0.3549961808
113	0.3525650181
114	0.350342913
115	0.3481783866
116	0.3459179993
117	0.3436480965
118	0.3416400435
119	0.33949554
120	0.3374041739
121	0.3351098199
122	0.3331867612
123	0.3311474384
124	0.3292100836
125	0.3272878814
126	0.3251953174
127	0.3231446186
128	0.3212652206
129	0.3192833721
130	0.3173099782
131	0.3153161957
132	0.3135364869
133	0.3117926336
134	0.3099150314
135	0.307956922
136	0.306102224
137	0.3042918513
138	0.3024070846
139	0.3006532186
140	0.2989529121
141	0.2972373724
142	0.2955156915
143	0.2937227367
144	0.2919556865
145	0.2903272755
146	0.2887000357
147	0.2872446147
148	0.2855791461
149	0.2840022312
150	0.2825881478
151	0.281034037
152	0.2795661872
153	0.2780737588
154	0.276688484
155	0.2752498469
156	0.2738605476
157	0.2724586144
158	0.2711121358
159	0.2697296956
160	0.2683540476
161	0.2670055891
162	0.2656324909
163	0.2642705707
164	0.2628633575
165	0.2614517624
166	0.2602807986
167	0.2589627971
168	0.257672901
169	0.2563940142
170	0.2552757698
171	0.2539311504
172	0.2527024679
173	0.2515101916
174	0.2502347939
175	0.2489843617
176	0.2478405521
177	0.2466332459
178	0.2456040196
179	0.2445015094
180	0.2433321296
181	0.2421437358
182	0.2409254294
183	0.239762111
184	0.238604272
185	0.2374427651
186	0.2362849266
187	0.2352827819
188	0.2341048418
189	0.2332569696
190	0.2322559148
191	0.2311916287
192	0.230233907
193	0.2292311273
194	0.2281937111
195	0.2272475914
196	0.2262645632
197	0.2253478259
198	0.2244738726
199	0.2235358683
200	0.2225991716
201	0.2216714102
202	0.2205688937
203	0.2196441955
204	0.2188047105
205	0.2177834685
206	0.2168904263
207	0.2160812613
208	0.2152399238
209	0.2144760666
210	0.2135950866
211	0.2127264651
212	0.2117638197
213	0.2108275318
214	0.2099784416
215	0.2090904534
216	0.2083660987
217	0.2075311492
218	0.2068993565
219	0.2059844962
220	0.2052941526
221	0.2045073797
222	0.2037027872
223	0.2027811369
224	0.201957824
225	0.2011051115
226	0.2002516714
227	0.1993697741
228	0.1985462214
229	0.1977913424
230	0.1970727102
231	0.1962722676
232	0.1955903303
233	0.1949388131
234	0.1942644881
235	0.1935972302
236	0.1928237249
237	0.1921084059
238	0.1912669414
239	0.1906413635
240	0.1901119923
241	0.1895312325
242	0.1888162059
243	0.1881367818
244	0.1874688597
245	0.1866547858
246	0.1859203882
247	0.1852825315
248	0.1845428024
249	0.1838534893
250	0.1830698627
251	0.1825546874
252	0.1818589632
253	0.1811543072
254	0.1805435819
255	0.1798692275
256	0.1791952444
257	0.1784225526
258	0.1778515636
259	0.177233071
260	0.1767155535
261	0.1760096956
262	0.1754766888
263	0.1748730893
264	0.1742800303
265	0.173566238
266	0.1730260717
267	0.1724251281
268	0.1716768892
269	0.1710742089
270	0.1704677873
271	0.1699597594
272	0.1692933802
273	0.1685969219
274	0.1680569832
275	0.1674073916
276	0.1669603222
277	0.1664614862
278	0.1659764482
279	0.1653954747
280	0.1647670654
281	0.1642267878
282	0.1637105669
283	0.1632495881
284	0.1626946936
285	0.1621618988
286	0.1616870617
287	0.161179985
288	0.1606747885
289	0.1602726192
290	0.159851167
291	0.159422995
292	0.1589732323
293	0.1586114052
294	0.1580224989
295	0.1576076267
296	0.1571094435
297	0.1565101637
298	0.1561361964
299	0.1557632086
300	0.1552015103
301	0.1547729441
302	0.1543309903
303	0.1539017587
304	0.1535044758
305	0.1531048695
306	0.1526732476
307	0.1522249934
308	0.1516976619
309	0.1512263631
310	0.1508331275
311	0.1502877322
312	0.1498124232
313	0.1494696047
314	0.1491249567
315	0.1487324955
316	0.1483419455
317	0.1479474841
318	0.147497937
319	0.1470708975
320	0.1466978132
321	0.1462691692
322	0.1458462782
323	0.1454649765
324	0.1450155455
325	0.144737973
326	0.1443843453
327	0.1439506503
328	0.1435723648
329	0.1431071783
330	0.1427485966
331	0.1424131764
332	0.141990404
333	0.1416106286
334	0.1413236451
335	0.1409078716
336	0.1405618142
337	0.1402045689
338	0.1397196372
339	0.1393700211
340	0.1389490043
341	0.1386253568
342	0.1383396126
343	0.1381578663
344	0.1377629614
345	0.1374525069
346	0.1371401112
347	0.1368873851
348	0.1364520844
349	0.1361241362
350	0.135787498
351	0.135473309
352	0.1352179304
353	0.1348832181
354	0.1344772891
355	0.1340925293
356	0.1337488363
357	0.1334265161
358	0.1329963787
359	0.1326905267
360	0.1323661257
361	0.1319500378
362	0.1315825854
363	0.1312878168
364	0.1308904365
365	0.130693724
366	0.1304143211
367	0.1300842348
368	0.1298294851
369	0.1295342544
370	0.1292240221
371	0.1289816883
372	0.1287025739
373	0.1284574204
374	0.1280617119
